id,nome,ano_registo,type,n_reg,lat,lon,score_global,score_location,score_price/quality,data_levan,nearest_metro,nearest_bus,nearest_tur_point,POI_closer_than_1000
299,five seven nine apartments,2016.0,Apartamento,34423/AL,41.15794284389453,-8.630546023488177,9.2,8.6,9.0,1488758400000.0,339.0356603117332,109.8225502224788,1839.3544311238031,0
306,magalhães apartment,2016.0,Apartamento,27949/AL,41.15056729436665,-8.598474616412732,8.7,8.6,8.6,1488758400000.0,203.17750203089105,140.5012033911045,979.9865076718957,5
307,monte carlo love porto guest house,2016.0,Estabelecimento de hospedagem,28408/AL,41.150750289916296,-8.597662439982486,7.9,7.9,7.9,1488758400000.0,238.57330543222838,93.51350815299575,1050.9110793345783,5
312,porto belo d´ouro,2016.0,Apartamento,34350/AL,41.14770592432577,-8.631982187411719,9.5,8.8,8.8,1488758400000.0,1459.2509629484705,70.76927349374583,1640.0423893523694,2
314,dukes corner-guest house,2016.0,Moradia,27515/AL,41.14479128486316,-8.597985765141594,-1.0,8.7,8.6,1488758400000.0,442.62977375317115,131.22285675673194,999.6824443718197,2
320,oportobatalha,2016.0,Apartamento,37726/AL,41.144832099821365,-8.606456178007003,9.2,9.7,9.0,1488758400000.0,362.635551751125,78.81511836723696,377.37249625744295,7
329,ana d'ouro apartment,2015.0,Apartamento,22573/AL,41.15594777818929,-8.604447377175763,9.0,8.5,9.0,1488758400000.0,430.044705065004,49.59332279169507,852.424644502274,5
330,apaq,2015.0,Apartamento,19868/AL,41.164626416031815,-8.610819915511385,8.6,6.9,8.1,1488758400000.0,660.5739255543756,32.900389043298176,1602.723073335247,3
333,cp 71,2010.0,Moradia,5106/AL,41.14166765586042,-8.616887734021399,8.7,9.5,8.2,1488758400000.0,609.8375402900409,99.65723807646508,207.41071806281326,4
334,cardosas apartement,2016.0,Apartamento,24515/AL,41.14547557998025,-8.611917273529576,9.9,10.0,9.7,1488758400000.0,134.3895833782349,52.66357325511156,273.02005593329466,8
