id,data_levan,nome,ano_registo,type,address,freg,lat,lon,nearest_metro,nearest_bus,nearest_tur_point,POI_closer_than_1000
3566,-2209161600000.0,Casa d'Anita,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-268 Porto, Portugal",,41.15374972363268,-8.609588914112821,150.86765104339287,62.16394683001675,416.7048908543409,6
3567,-2209161600000.0,Trindade Charming flat@1,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-265 Porto, Portugal",,41.153798806310384,-8.609587693477176,156.26087440128262,56.73765319483015,421.9055646375064,6
3568,-2209161600000.0,Trindade Charming flat@2,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-265 Porto, Portugal",,41.15379970921865,-8.609599677421139,156.48675137507215,56.76357471993202,421.68515995811066,6
3569,-2209161600000.0,Trindade Downtown Apartment,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-265 Porto, Portugal",,41.153725421106245,-8.609589367721982,148.19716495041962,64.85084174544811,414.1362842083946,6
3570,-2209161600000.0,Liiiving in Porto | Splendid View Apartment,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-265 Porto, Portugal",,41.15371440219166,-8.609603788203616,147.14818707229134,66.20153917845178,412.59043662384397,6
3571,-2209161600000.0,Invicta Downtown,2017.0,Apartamento,"Rua de Goncalo Cristovao, 4000-265 Porto, Portugal",,41.153735189921825,-8.609589123010073,149.26981660437374,63.770134312702254,415.1702555089457,6
3572,-2209161600000.0,Nuno Studio,2017.0,Apartamento,"Rua do Bonjardim, 4000-119 Porto, Portugal",,41.153212070214785,-8.607862912300481,154.45522262275352,51.67840671500625,435.3023579535523,6
3573,-2209161600000.0,A minha Casa do Porto,2017.0,Apartamento,"Rua de Pedro Hispano, 4100-394 Porto, Portugal",,41.162083162554225,-8.637341293908559,388.4332222271591,264.21301852584185,2562.0474414066684,0
3574,-2209161600000.0,Feel Porto Casa da Musica Townhouse,2017.0,Apartamento,"Rua Fernandes Costa, 4100-240 Porto, Portugal",,41.160414549914414,-8.634837053341741,505.00945355841003,170.78155668841725,2287.1048050446475,0
3575,-2209161600000.0,Casas de Sant'Ana Oporto Apartments 3,2017.0,Apartamento,"Rua de Santana, 4050-538 Porto, Portugal",,41.142530667076116,-8.613397747378023,321.0103904940911,100.1075124587484,158.50406612927574,6
3576,-2209161600000.0,Casas de Sant'Ana Oporto Apartments 4,2017.0,Apartamento,"Rua de Santana, 4050-538 Porto, Portugal",,41.1425092970716,-8.613380573441514,321.75481711409526,102.47428120467312,157.99907163753886,6
3577,-2209161600000.0,PORTO PERTO,2017.0,Apartamento,"Rua de Santana, 4050-538 Porto, Portugal",,41.142546907519566,-8.613359574687005,317.5011668662978,98.32079259006537,154.87509131759847,6
3578,-2209161600000.0,PORTO PERTO,2017.0,Apartamento,"Rua de Santana, 4050-538 Porto, Portugal",,41.142526974356365,-8.613340519809581,318.03059221947575,100.57918867434124,154.15576259798945,6
3579,-2209161600000.0,Porto 4 Flats Metro Trindade,2017.0,Apartamento,"Rua Raul Doria, 4000-409 Porto, Portugal",,41.15414481132094,-8.6073802140321,254.98433820490558,85.15476479579121,542.0104122639576,7
3580,-2209161600000.0,Porto 4 Flats Metro Trindade,2017.0,Apartamento,"Rua Raul Doria, 4000-409 Porto, Portugal",,41.15411990576799,-8.607411554790735,251.17366575224858,82.68739699423622,538.2286806205926,7
3581,-2209161600000.0,Porto 4 Flats Metro Trindade,2017.0,Apartamento,"Rua Raul Doria, 4000-409 Porto, Portugal",,41.154155169631856,-8.607410548271716,254.21340126780518,86.56312321750677,541.4545315373143,7
