,address,name,score,type
52,"-8.63265973343808,41.1290935834269,-8.58485626656192,41.1650244165731",The Ga,"{'global': 9.1, 'staff': 9.5, 'commodities': 8.7, 'cleanliness': 9.3, 'confort': 8.8, 'price/quality': 8.8, 'location': 9.7, 'free-wifi': 8.9}",Casa de hóspedes 
53,"-8.63027680228721,41.1320255834269,-8.5824711977128,41.1679564165731",Ana D'ouro Apartment II,"{'global': 9.6, 'staff': 9.8, 'commodities': 9.2, 'cleanliness': 9.8, 'confort': 9.4, 'price/quality': 9.5, 'location': 10.0, 'free-wifi': 10.0}",Apartamento 
54,"-8.63611362446406,41.1309538333954,-8.5883088013309,41.1668846665416",Porto Sunny Terrace Almada,"{'global': 9.7, 'staff': 9.7, 'commodities': 9.7, 'cleanliness': 9.8, 'confort': 9.7, 'price/quality': 9.6, 'location': 9.8, 'free-wifi': 9.8}",Apartamento 
55,"-8.63825055183485,41.1274979834269,-8.59044824816524,41.1634288165731",RVA - Clerigos Apartments,"{'global': 9.3, 'staff': 9.3, 'commodities': 9.1, 'cleanliness': 9.6, 'confort': 9.1, 'price/quality': 9.0, 'location': 9.6, 'free-wifi': 8.5}",Apartamento 
56,"-8.62600460360785,41.1318643031072,-8.57819911662988,41.1677951362534",Design Flat in Porto Downtown,"{'global': 9.9, 'staff': 10.0, 'commodities': 9.9, 'cleanliness': 9.9, 'confort': 9.8, 'price/quality': 9.8, 'location': 9.6, 'free-wifi': 10.0}",Apartamento 
57,"-8.62606411049013,41.1320480834269,-8.57825848950993,41.1679789165731",Porto Sentid,"{'global': 9.7, 'staff': 9.7, 'commodities': 9.6, 'cleanliness': 9.9, 'confort': 9.7, 'price/quality': 9.6, 'location': 9.5, 'free-wifi': 9.8}",Apartamento 
58,"-8.63027878221585,41.1265789282997,-8.58247714850306,41.1625097614459",Oporto Boutique Guest Hous,"{'global': 8.0, 'staff': 8.7, 'commodities': 7.2, 'cleanliness': 8.0, 'confort': 7.1, 'price/quality': 7.6, 'location': 9.0, 'free-wifi': 8.9}",Alojamento de acomodação e pequeno-almoço 
59,"-8.63722743789554,41.1247159834269,-8.58942716210455,41.1606468165731",Porto Perto Apartments,"{'global': 9.3, 'staff': 9.4, 'commodities': 9.2, 'cleanliness': 9.3, 'confort': 9.3, 'price/quality': 9.0, 'location': 9.7, 'free-wifi': 9.6}",Apartamento 
60,"-8.65025829184526,41.1358366834269,-8.60244990815474,41.1717675165731",AV Apartmen,"{'global': 9.4, 'staff': 9.5, 'commodities': 9.4, 'cleanliness': 9.5, 'confort': 9.5, 'price/quality': 9.4, 'location': 9.1}",Apartamento 
61,"-8.62856337317631,41.1264590834269,-8.58076182682365,41.1623899165731",Live Porto & Douro - Duque Loulé I,"{'global': 9.5, 'staff': 9.4, 'commodities': 9.1, 'cleanliness': 9.7, 'confort': 9.2, 'price/quality': 9.6, 'location': 9.6, 'free-wifi': 10.0}",Apartamento 
62,"-8.63418576367915,41.1228658834269,-8.58638683632082,41.1587967165731",Porto By The River Ap,"{'global': 9.2, 'staff': 9.5, 'commodities': 8.8, 'cleanliness': 9.4, 'confort': 8.7, 'price/quality': 8.7, 'location': 9.8, 'free-wifi': 8.8}",Apartamento 
63,"-8.63667591406872,41.1273520899872,-8.58887371675204,41.1632829231334",House of Artists,"{'global': 9.2, 'staff': 9.6, 'commodities': 8.7, 'cleanliness': 9.6, 'confort': 8.9, 'price/quality': 8.7, 'location': 9.7, 'free-wifi': 8.3}",Alojamento de acomodação e pequeno-almoço 
64,"-8.63387042795327,41.1309987834269,-8.5860655720467,41.1669296165731",Deco Gem Aliados,"{'global': 9.8, 'staff': 9.7, 'commodities': 9.5, 'cleanliness': 9.9, 'confort': 9.9, 'price/quality': 9.7, 'location': 9.9}",Apartamento 
65,"-8.62125936380947,41.1282717991309,-8.57345649603305,41.1642026322771",Mirandesa Guesthous,"{'global': 7.9, 'staff': 9.0, 'commodities': 7.3, 'cleanliness': 8.2, 'confort': 7.0, 'price/quality': 8.0, 'location': 8.1, 'free-wifi': 7.7}",Alojamento de acomodação e pequeno-almoço 
66,"-8.62122707535894,41.1339794335266,-8.57342004607204,41.1699102666728",Magalhães Apartments,"{'global': 9.2, 'staff': 9.7, 'commodities': 9.1, 'cleanliness': 9.3, 'confort': 9.1, 'price/quality': 9.4, 'location': 8.7, 'free-wifi': 9.2}",Apartamento 
67,"-8.63686344971588,41.1255715834269,-8.58906255028412,41.1615024165731",Sunday - Downtown Historical Ap,"{'global': 9.4, 'staff': 9.3, 'commodities': 9.1, 'cleanliness': 9.5, 'confort': 9.1, 'price/quality': 9.4, 'location': 9.7, 'free-wifi': 10.0}",Apartamento 
68,"-8.63822918476245,41.1248445834269,-8.59042881523755,41.1607754165731",Oporto Chic&Cozy - Ribeira,"{'global': 9.5, 'staff': 9.5, 'commodities': 9.3, 'cleanliness': 9.6, 'confort': 9.4, 'price/quality': 9.3, 'location': 9.9, 'free-wifi': 9.3}",Apartamento 
69,"-8.64081865193322,41.1239940829118,-8.59301890230944,41.159924916058",RVA - Sao Joao Novo Apartments,"{'global': 9.4, 'staff': 9.5, 'commodities': 9.2, 'cleanliness': 9.5, 'confort': 9.3, 'price/quality': 9.0, 'location': 9.5, 'free-wifi': 9.4}",Apartamento 
